Language_ID	Parameter_ID	Form
spa	4-241	pico
deu	4-241	Schnabel
rus	4-241	клюв
fra	4-25	lèvre
spa	4-25	labio
deu	4-25	Lippe
rus	4-25	губа
fra	4-26	langue
spa	4-26	lengua
deu	4-26	Zunge
rus	4-26	язык
fra	4-27	dent
spa	4-27	diente
deu	4-27	Zahn
rus	4-27	зуб
fra	4-271	gencive
spa	4-271	encías
deu	4-271	Zahnfleisch
rus	4-271	десны
fra	4-272	molaire
spa	4-272	molar,muela
deu	4-272	Backenzahn
rus	4-272	коренной зуб
fra	4-28	cou
spa	4-28	cuello
deu	4-28	Hals
rus	4-28	шея
fra	4-281	nuque
spa	4-281	nuca
deu	4-281	Nacken, Genick
rus	4-281	затылок
fra	4-29	gorge
spa	4-29	garganta
deu	4-29	Kehle
rus	4-29	горло, глотка
fra	4-3	épaule
spa	4-3	hombro
deu	4-3	Schulter
rus	4-3	плечо
fra	4-301	omoplate
spa	4-301	escápula,omóplato
deu	4-301	Schulterblatt
rus	4-301	лопатка
fra	4-302	clavicule
spa	4-302	clavícula
deu	4-302	Schlüsselbein
rus	4-302	ключица
fra	4-31	bras
spa	4-31	brazo
deu	4-31	Arm
rus	4-31	рука
fra	4-312	aisselle
spa	4-312	sobaco, axila
deu	4-312	Achsel, Achselhöhle
rus	4-312	подмышка
fra	4-32	coude
spa	4-32	codo
deu	4-32	Ellbogen
rus	4-32	локоть
fra	4-321	poignet
spa	4-321	muñeca
deu	4-321	Handgelenk
rus	4-321	запястье
fra	4-33	main
spa	4-33	mano
deu	4-33	Hand
rus	4-33	кисть
fra	4-331	paume
spa	4-331	palma de la mano
deu	4-331	Handteller, Handfläche
rus	4-331	ладонь
fra	4-34	doigt
spa	4-34	dedo
deu	4-34	Finger
rus	4-34	палец (рука)
fra	4-342	pouce
spa	4-342	pulgar
deu	4-342	Daumen
rus	4-342	большой палец
fra	4-344	ongle
spa	4-344	uña
deu	4-344	Fingernagel
rus	4-344	ноготь
fra	4-345	griffe
spa	4-345	garra
deu	4-345	Klaue, Kralle
rus	4-345	коготь
fra	4-35	jambe
spa	4-35	pierna,pata
deu	4-35	Bein
rus	4-35	нога
fra	4-351	cuisse
spa	4-351	muslo
deu	4-351	Oberschenkel
rus	4-351	бедро
fra	4-352	mollet
spa	4-352	pantorrilla
deu	4-352	Wade
rus	4-352	икра ноги
fra	4-36	genou
spa	4-36	rodilla
deu	4-36	Knie
rus	4-36	колено
fra	4-37	pied
spa	4-37	pie
deu	4-37	Fuß
rus	4-37	ступня
fra	4-371	cheville
spa	4-371	tobillo
deu	4-371	Fußgelenk, Fußknöchel
rus	4-371	лодыжка
fra	4-372	talon
spa	4-372	talón
deu	4-372	Ferse
rus	4-372	пятка
fra	4-374	empreinte de pied
spa	4-374	huella
deu	4-374	Fußabdruck
rus	4-374	след (ноги)
fra	4-38	orteil, doigt de pied
spa	4-38	dedo del pie
deu	4-38	Zeh
rus	4-38	палец (ноги)
fra	4-392	aile
spa	4-392	ala
deu	4-392	Flügel
rus	4-392	крыло
fra	4-393	plume
spa	4-393	pluma
deu	4-393	Feder
rus	4-393	перо
fra	4-4	poitrine
spa	4-4	pecho
deu	4-4	Brust
rus	4-4	грудная клетка
fra	4-41	sein, poitrine
spa	4-41	seno
deu	4-41	Brust
rus	4-41	грудь (женская)
fra	4-412	bout du sein (+hum), mamelle (+hum) téton (-hum),
spa	4-412	pezón
deu	4-412	Brustwarze (+hum), Zitze (-hum)
rus	4-412	сосок
fra	4-42	pis
spa	4-42	ubre
deu	4-42	Euter
rus	4-42	вымя
fra	4-43	nombril
spa	4-43	ombligo
deu	4-43	Nabel
rus	4-43	пуп
fra	4-44	coeur
spa	4-44	corazón
deu	4-44	Herz
rus	4-44	сердце
fra	4-441	poumon
spa	4-441	pulmón
deu	4-441	Lunge
rus	4-441	легкое
fra	4-45	foie
spa	4-45	hígado
deu	4-45	Leber
rus	4-45	печень
fra	4-451	rein
spa	4-451	riñón
deu	4-451	Niere
rus	4-451	почка
fra	4-452	rate
spa	4-452	bazo
deu	4-452	Milz
rus	4-452	селезенка
fra	4-46	estomac, (mal au) ventre
spa	4-46	estómago
deu	4-46	Magen
rus	4-46	желудок
fra	4-461	intestins, boyaux
spa	4-461	intestinos
deu	4-461	Eingeweide
rus	4-461	кишечник
fra	4-462	taille
spa	4-462	cintura
deu	4-462	Taille
rus	4-462	талия
fra	4-463	hanche
spa	4-463	cadera
deu	4-463	Hüfte
rus	4-463	бедро, ляжка
fra	4-464	fesses, derrière
spa	4-464	nalgas,trasero
deu	4-464	Hintern, Gesäß
rus	4-464	ягодицы
fra	4-47	utérus, sein de la mère
spa	4-47	matriz,vientre
deu	4-47	Mutterleib, Gebärmutter
rus	4-47	матка, лоно
fra	4-49	testicule
spa	4-49	testículo
deu	4-49	Hoden
rus	4-49	тестикул
fra	4-492	pénis
spa	4-492	pene
deu	4-492	Penis
rus	4-492	пенис
fra	4-51	respirer
spa	4-51	respirar, aliento
deu	4-51	Atem
rus	4-51	дыхание
fra	4-52	bâiller
spa	4-52	bostezar
deu	4-52	gähnen
rus	4-52	зевать
fra	4-521	hoqueter
spa	4-521	hipo
deu	4-521	Schluckauf haben
rus	4-521	икать
fra	4-53	tousser
spa	4-53	toser
deu	4-53	husten
rus	4-53	кашлять
fra	4-54	éternuer
spa	4-54	estornudar
deu	4-54	niesen
rus	4-54	чихать
fra	4-55	transpirer, suer
spa	4-55	sudar
deu	4-55	schwitzen
rus	4-55	потеть
fra	4-56	cracher
spa	4-56	escupir (saliva [noun])
deu	4-56	spucken
rus	4-56	плевать(ся), плевок
fra	4-57	vomir
spa	4-57	vomitar
deu	4-57	brechen, sich erbrechen
rus	4-57	страдать рвотой
fra	4-58	mordre
spa	4-58	morder
deu	4-58	beißen
rus	4-58	кусать
fra	4-59	lécher
spa	4-59	lamer
deu	4-59	lecken
rus	4-59	лизать
fra	4-591	baver
spa	4-591	gotear, babear
deu	4-591	sabbern
rus	4-591	пускать слюну
fra	4-61	dormir
spa	4-61	dormir
deu	4-61	schlafen
rus	4-61	спать
fra	4-612	ronfler
spa	4-612	roncar
deu	4-612	schnarchen
rus	4-612	храпеть
fra	4-62	rêver
spa	4-62	soñar
deu	4-62	träumen
rus	4-62	видеть сон, мечтать
fra	4-63	se réveiller, s'eveiller
spa	4-63	despertarse
deu	4-63	aufwachen
rus	4-63	просыпаться
fra	4-64	péter
spa	4-64	flato
deu	4-64	furzen
rus	4-64	освободиться от газов
fra	4-65	uriner
spa	4-65	orinar
deu	4-65	pinkeln, pissen
rus	4-65	мочиться
fra	4-66	déféquer
spa	4-66	defecar, excremento (noun)
deu	4-66	scheißen
rus	4-66	испражняться
fra	4-67	faire l'amour, copuler
spa	4-67	tener relaciones sexuales
deu	4-67	schlafen (mit)
rus	4-67	вступать в половой контакт
fra	4-68	trembler, frissonner
spa	4-68	temblar
deu	4-68	zittern
rus	4-68	дрожать
fra	4-69	se baigner
spa	4-69	bañar(se)
deu	4-69	baden
rus	4-69	купаться
fra	4-71	engendrer
spa	4-71	engendrar
deu	4-71	zeugen
rus	4-71	порождать, рождать (об отце)
fra	4-72	né,naître
spa	4-72	nacer
deu	4-72	geboren werden
rus	4-72	родиться
fra	4-73	enceinte
spa	4-73	embarazada (mujer), preñada (hembra)
deu	4-73	schwanger (+hum), trächtig (-hum)
rus	4-73	беременная
fra	4-732	concevoir
spa	4-732	concebir
deu	4-732	schwanger werden
rus	4-732	зачать, забеременнеть
fra	4-74	vivre
spa	4-74	vivir
deu	4-74	aam Leben, lebendig sein
rus	4-74	жить, живой
fra	4-75	mourir
spa	4-75	morir, muerto
deu	4-75	sterben
rus	4-75	умереть, скончаться, мертвый
fra	4-751	noyé(e)
spa	4-751	ahogado
deu	4-751	ertrunken
rus	4-751	утонувший, утопленник
fra	4-76	tuer
spa	4-76	matar
deu	4-76	töten, umbringen
rus	4-76	убивать
fra	4-77	cadavre
spa	4-77	cadáver
deu	4-77	Leiche, Leichnam
rus	4-77	труп
fra	4-78	enterrer
spa	4-78	sepultar
deu	4-78	beerdigen, begraben, bestatten
rus	4-78	хоронить
fra	4-79	tombeau
spa	4-79	sepulcro
deu	4-79	Grab
rus	4-79	могила
fra	4-81	fort,puissant
spa	4-81	fuerte, poderoso
deu	4-81	stark, mächtig, kräftig
rus	4-81	сильный, могущественный
fra	4-82	faible
spa	4-82	débil
deu	4-82	schwach
rus	4-82	слабый, хилый
fra	4-83	santé, en bonne santé
spa	4-83	sano, salud
deu	4-83	gesund
rus	4-83	здоровый, здоровье
fra	4-84	malade
spa	4-84	enfermo
deu	4-84	krank
rus	4-84	больной
fra	4-841	fièvre
spa	4-841	fiebre
deu	4-841	Fieber
rus	4-841	жар, лихорадить
fra	4-842	goître
spa	4-842	bocio, coto
deu	4-842	Kropf
rus	4-842	зоб
fra	4-843	rhume
spa	4-843	catarro
deu	4-843	Erkältung
rus	4-843	простуда
fra	4-85	blessure, plaie
spa	4-85	herida, llaga
deu	4-85	Wunde
rus	4-85	рана, язва
fra	4-852	contusion, bleu
spa	4-852	magulladura
deu	4-852	blauer Fleck, Bluterguss
rus	4-852	ушиб
fra	4-853	bosse, enflure
spa	4-853	hinchazón
deu	4-853	Beule, Schwellung
rus	4-853	опухоль
fra	4-854	démangeaison
spa	4-854	comezón
deu	4-854	Jucken, Juckreiz
rus	4-854	зуд
fra	4-855	ampoule
spa	4-855	ampolla
deu	4-855	Blase
rus	4-855	волдырь, водяной пузырь
fra	4-856	furoncle
spa	4-856	furúnculo, forúnculo
deu	4-856	Eiterbeule, Furunkel, Schwäre
rus	4-856	нарыв, фурункул
fra	4-857	pus
spa	4-857	pus
deu	4-857	Eiter
rus	4-857	гной
fra	4-858	cicatrice
spa	4-858	cicatriz
deu	4-858	Narbe
rus	4-858	шрам, рубец
fra	4-86	guérir
spa	4-86	sanar
deu	4-86	heilen
rus	4-86	лечить, исцелять
fra	4-87	médecin
spa	4-87	doctor, médico
deu	4-87	Arzt
rus	4-87	врач, (фельдшер)
fra	4-88	remède, médecine, médicament
spa	4-88	medicina, remedio
deu	4-88	Arznei, Heilmittel, Medizin
rus	4-88	лекарство, средство
fra	4-89	poison
spa	4-89	veneno
deu	4-89	Gift
rus	4-89	яд
fra	4-91	fatigué
spa	4-91	cansado
deu	4-91	müde
rus	4-91	усталый, утомленный
fra	4-912	se reposer
spa	4-912	descansar
deu	4-912	(sich) ausruhen
rus	4-912	отдыхать
fra	4-92	paresseux
spa	4-92	perezoso
deu	4-92	faul, träge
rus	4-92	ленивый
fra	4-93	chauve
spa	4-93	calvo
deu	4-93	kahl, glatzköpfig
rus	4-93	лысый
fra	4-94	boiteux
spa	4-94	lisiado
deu	4-94	lahm
rus	4-94	хромать
fra	4-95	sourd
spa	4-95	sordo
deu	4-95	taub
rus	4-95	глухой
fra	4-96	muet
spa	4-96	mudo
deu	4-96	stumm
rus	4-96	немой
fra	4-97	aveugle
spa	4-97	ciego
deu	4-97	blind
rus	4-97	слепой
fra	4-98	ivre
spa	4-98	ebrio
deu	4-98	betrunken
rus	4-98	пьяный
fra	4-99	nu
spa	4-99	desnudo
deu	4-99	nackt
rus	4-99	голый, обнаженный
fra	5-11	manger
spa	5-11	comer
deu	5-11	essen
rus	5-11	есть, кушать
fra	5-12	nourriture
spa	5-12	comida
deu	5-12	Essen
rus	5-12	пища
fra	5-121	cuit
spa	5-121	cocinado
deu	5-121	gekocht
rus	5-121	вареный
fra	5-122	cru
spa	5-122	crudo
deu	5-122	roh
rus	5-122	сырой
fra	5-123	mûr
spa	5-123	maduro
deu	5-123	reif
rus	5-123	зрелый, спелый
fra	5-124	vert
spa	5-124	inmaduro, no maduro, verde
deu	5-124	unreif
rus	5-124	зеленый, неспелый, незрелый
fra	5-125	pourri
spa	5-125	podrido
deu	5-125	verfault
rus	5-125	гнилой
fra	5-13	boire
spa	5-13	beber
deu	5-13	trinken
rus	5-13	пить
fra	5-14	faim
spa	5-14	hambre
deu	5-14	Hunger haben
rus	5-14	голод
fra	5-141	famine, disette
spa	5-141	hambre
deu	5-141	Hungersnot
rus	5-141	голод, голодание
fra	5-15	soif
spa	5-15	sed
deu	5-15	Durst haben
rus	5-15	жажда
fra	5-16	sucer, téter
spa	5-16	chupar
deu	5-16	saugen
rus	5-16	сосать
fra	5-18	mastiquer, macher
spa	5-18	masticar
deu	5-18	kauen
rus	5-18	жевать
fra	5-181	avaler
spa	5-181	tragar
deu	5-181	herunterschlucken
rus	5-181	глотать
fra	5-19	étouffer
spa	5-19	sofocar
deu	5-19	zum Ersticken bringen
rus	5-19	душить, вызывать удушье
fra	5-21	cuire
spa	5-21	cocinar
deu	5-21	kochen
rus	5-21	варить
fra	5-22	bouillir
spa	5-22	hervir
deu	5-22	kochen
rus	5-22	кипятить
fra	5-23	rôtir, frire
spa	5-23	asar, freír
deu	5-23	braten
rus	5-23	жарить
fra	5-24	cuire au four
spa	5-24	hornear
deu	5-24	backen
rus	5-24	печь
fra	5-25	four
spa	5-25	horno
deu	5-25	Ofen
rus	5-25	печь
fra	5-26	casserole, marmite
spa	5-26	olla
deu	5-26	Topf
rus	5-26	котелок, кастрюля
fra	5-27	bouilloire
spa	5-27	caldera
deu	5-27	Kessel
rus	5-27	чайник
fra	5-28	poêle
spa	5-28	cacerola, cazuela
deu	5-28	Pfanne
rus	5-28	сковородка
fra	5-31	plat, assiette
spa	5-31	fuente
deu	5-31	Schüssel
rus	5-31	блюдо, тарелка
fra	5-32	assiette
spa	5-32	plato
deu	5-32	Teller
rus	5-32	тарелка
fra	5-33	bol
spa	5-33	tazón
deu	5-33	Schale
rus	5-33	миска, таз
fra	5-34	cruche, broc
spa	5-34	cántaro, jarro
deu	5-34	Krug
rus	5-34	кувшин
fra	5-35	tasse, coupe, gobelet
spa	5-35	taza
deu	5-35	Tasse, Becher
rus	5-35	чашка, кубок
fra	5-36	soucoupe
spa	5-36	platillo
deu	5-36	Untertasse
rus	5-36	блюдце
fra	5-37	cuillère
spa	5-37	cuchara
deu	5-37	Löffel
rus	5-37	ложка
fra	5-38	couteau (de table)
spa	5-38	cuchillo (para cortar comida)
deu	5-38	Messer
rus	5-38	нож
fra	5-39	fourchette
spa	5-39	tenedor
deu	5-39	Gabel
rus	5-39	вилка
fra	5-391	pinces
spa	5-391	tenazas
deu	5-391	Zange
rus	5-391	щипцы
fra	5-41	repas
spa	5-41	comida
deu	5-41	Mahlzeit
rus	5-41	еда, принятие пищи
fra	5-42	petit déjeuner
spa	5-42	desayuno
deu	5-42	Frühstück
rus	5-42	завтрак
fra	5-43	déjeuner, repas de midi
spa	5-43	almuerzo
deu	5-43	Mittagessen
rus	5-43	обед
fra	5-44	dîner
spa	5-44	comida
deu	5-44	Hauptmahlzeit
rus	5-44	обед/ужин
fra	5-45	souper, repas du soir
spa	5-45	cena
deu	5-45	Abendessen, Abendbrot
rus	5-45	(холодный) ужин
fra	5-46	peler,éplucher
spa	5-46	pelar
deu	5-46	schälen, pellen
rus	5-46	чистить, отчищать (овощи, фрукты)
fra	5-47	passer
spa	5-47	cribar, colar, cerner
deu	5-47	(durch)sieben, passieren
rus	5-47	просеивать, процеживать
fra	5-48	gratter
spa	5-48	raspar
deu	5-48	kratzen, schaben, schürfen
rus	5-48	тереть
fra	5-49	mêler, mélanger
spa	5-49	mezclar, mixturar
deu	5-49	rühren, mischen
rus	5-49	мешать, помешивать, смешивать
fra	5-51	pain
spa	5-51	pan
deu	5-51	Brot
rus	5-51	хлеб
fra	5-53	pâte
spa	5-53	masa
deu	5-53	Teig
rus	5-53	тесто
fra	5-54	pétrir
spa	5-54	amasar
deu	5-54	kneten
rus	5-54	месить (тесто)
fra	5-55	farine
spa	5-55	harina
deu	5-55	Mehl
rus	5-55	мука
fra	5-56	moudre
spa	5-56	aplastar, moler
deu	5-56	mahlen, zermahlen
rus	5-56	давить, дробить
fra	5-57	moulin
spa	5-57	molino
deu	5-57	Mühle
rus	5-57	мельница
fra	5-58	mortier
spa	5-58	mortero
deu	5-58	Mörser
rus	5-58	ступка, ступа
fra	5-59	pilon
spa	5-59	mano de mortero
deu	5-59	Stößel
rus	5-59	пестик
fra	5-61	viande
spa	5-61	carne
deu	5-61	Fleisch
rus	5-61	мясо
fra	5-63	saucisse
spa	5-63	salchicha
deu	5-63	Wurst
rus	5-63	колбаса, сосиска
fra	5-64	soupe, potage
spa	5-64	sopa
deu	5-64	Suppe
rus	5-64	суп
fra	5-65	légumes
spa	5-65	legumbres
deu	5-65	Gemüse
rus	5-65	овощи
fra	5-66	haricot
spa	5-66	frijol, poroto
deu	5-66	Bohne
rus	5-66	боб
fra	5-7	pomme de terre
spa	5-7	papa
deu	5-7	Kartoffel
rus	5-7	картофель
fra	5-71	fruit
spa	5-71	fruta
deu	5-71	Obst
rus	5-71	фрукт
fra	5-712	botte
spa	5-712	racimo
deu	5-712	Bund
rus	5-712	гроздь, пучок
fra	5-75	figue
spa	5-75	higo
deu	5-75	Feige
rus	5-75	инжир
fra	5-76	raisin
spa	5-76	uva
deu	5-76	Weintraube, Traube, Weinbeere
rus	5-76	виноград
fra	5-77	noix
spa	5-77	nuez
deu	5-77	Nuss
rus	5-77	орех
fra	5-78	olive
spa	5-78	aceituna, oliva
deu	5-78	Olive
rus	5-78	олива, маслина
fra	5-79	huile
spa	5-79	aceite
deu	5-79	Öl
rus	5-79	растительное масло
fra	5-791	graisse, le gras
spa	5-791	grasa
deu	5-791	Fett
rus	5-791	жир, сало
fra	5-81	sel
spa	5-81	sal
deu	5-81	Salz
rus	5-81	соль
fra	5-82	poivre
spa	5-82	pimienta
deu	5-82	Pfeffer
rus	5-82	перец
fra	5-821	piment
spa	5-821	ají
deu	5-821	Cayennepfeffer
rus	5-821	острый перец
fra	5-84	miel
spa	5-84	miel
deu	5-84	Honig
rus	5-84	мед
fra	5-85	sucre
spa	5-85	azúcar
deu	5-85	Zucker
rus	5-85	сахар
fra	5-86	lait
spa	5-86	leche
deu	5-86	Milch
rus	5-86	молоко
fra	5-87	traire
spa	5-87	ordeñar
deu	5-87	melken
rus	5-87	доить
fra	5-88	fromage
spa	5-88	queso
deu	5-88	Käse
rus	5-88	сыр
fra	5-89	beurre
spa	5-89	manteca, mantequilla
deu	5-89	Butter
rus	5-89	сливочное масло
fra	5-9	boisson
spa	5-9	bebida
deu	5-9	Getränk
rus	5-9	напиток
fra	5-91	hydromel
spa	5-91	aguamiel
deu	5-91	Met
rus	5-91	мед (напиток)
fra	5-92	vin
spa	5-92	vino
deu	5-92	Wein
rus	5-92	вино
fra	5-93	bière
spa	5-93	cerveza
deu	5-93	Bier
rus	5-93	пиво
fra	5-94	boisson fermentée
spa	5-94	bebida fermentada
deu	5-94	vergorenes Getränk
rus	5-94	брага
fra	5-97	oeuf
spa	5-97	huevo
deu	5-97	Ei
rus	5-97	яйцо
fra	5-971	jaune d'oeuf
spa	5-971	yema (de huevo)
deu	5-971	Eigelb, Dotter
rus	5-971	желток
fra	6-11	porter, mettre (vêtement)
spa	6-11	vestirse
deu	6-11	anziehen, ankleiden, kleiden
rus	6-11	одевать
fra	6-12	habit, vêtement
spa	6-12	ropa
deu	6-12	Kleider, Kleidung
rus	6-12	одежда
fra	6-13	tailleur
spa	6-13	sastre
deu	6-13	Schneider
rus	6-13	портной
fra	6-21	étoffe,tissu
spa	6-21	tela
deu	6-21	Stoff, Tuch
rus	6-21	ткань, сукно
fra	6-22	laine
spa	6-22	lana
deu	6-22	Wolle
rus	6-22	шерсть (шерстяная ткань)
fra	6-23	lin
spa	6-23	lino
deu	6-23	Leinen
rus	6-23	лен (льняная ткань)
fra	6-24	coton
spa	6-24	algodón
deu	6-24	Baumwolle
rus	6-24	хлопок (хлопчатобумажная ткань)
fra	6-25	soie
spa	6-25	seda
deu	6-25	Seide
rus	6-25	шелк
fra	6-27	feutre
spa	6-27	fieltro
deu	6-27	Filz
rus	6-27	фетр, войлок
fra	6-28	fourrure
spa	6-28	piel (de animal)
deu	6-28	Pelz
rus	6-28	мех
fra	6-29	cuir
spa	6-29	cuero
deu	6-29	Leder
rus	6-29	кожа
fra	6-31	filer
spa	6-31	hilar
deu	6-31	spinnen
rus	6-31	прясть
fra	6-32	fuseau
spa	6-32	huso
deu	6-32	Spindel
rus	6-32	веретено
fra	6-33	tisser
spa	6-33	tejer
deu	6-33	weben
rus	6-33	плести, ткать
fra	6-34	métier â tisser
spa	6-34	telar
deu	6-34	Webstuhl
rus	6-34	ткацкий станок
fra	6-35	coudre
spa	6-35	coser
deu	6-35	nähen
rus	6-35	шить
fra	6-36	aiguille
spa	6-36	aguja
deu	6-36	Nadel
rus	6-36	игла
fra	6-37	alène
spa	6-37	punzón
deu	6-37	Ahle
rus	6-37	шило
fra	6-38	fil
spa	6-38	hilo
deu	6-38	Faden
rus	6-38	нитка
fra	6-39	teindre
spa	6-39	teñir
deu	6-39	färben
rus	6-39	красить (vb, not n)
fra	6-41	cape
spa	6-41	capa
deu	6-41	Mantel, Umhang
rus	6-41	плащ
fra	6-411	poncho
spa	6-411	poncho,ruana
deu	6-411	Poncho
rus	6-411	пончо
fra	7-37	échelle
spa	7-37	escalera
deu	7-37	Leiter
rus	7-37	лестница (приставная)
fra	6-42	robe (de femme)
spa	6-42	vestido
deu	6-42	Kleid
rus	6-42	женское платье
fra	6-43	manteau, pardessus
spa	6-43	abrigo,saco
deu	6-43	(Geh)Rock, Jacke, Mantel
rus	6-43	пальто + шуба
fra	6-44	chemise
spa	6-44	camisa
deu	6-44	Hemd
rus	6-44	рубашка
fra	6-45	col
spa	6-45	cuello
deu	6-45	Kragen
rus	6-45	воротник
fra	6-46	jupe
spa	6-46	falda
deu	6-46	Rock
rus	6-46	юбка
fra	6-461	jupe en rafia
spa	6-461	falda de hierbas
deu	6-461	?
rus	6-461	юбка из листьев
fra	6-48	pantalon
spa	6-48	pantalones, calzones
deu	6-48	Hose
rus	6-48	штаны, брюки
fra	6-49	bas, chaussette
spa	6-49	media, calcetín
deu	6-49	(Knie)Strumpf, Socke
rus	6-49	чулок, носок
fra	6-51	chaussure, soulier
spa	6-51	zapato
deu	6-51	Schuh
rus	6-51	туфель,  ботинок
fra	6-52	botte
spa	6-52	bota
deu	6-52	Stiefel
rus	6-52	сапог
fra	6-54	cordonnier
spa	6-54	zapatero
deu	6-54	Schuhmacher, Schuster
rus	6-54	сапожник
fra	6-55	chapeau, casquette, bonnet
spa	6-55	sombrero, gorro
deu	6-55	Hut; Mütze
rus	6-55	шляпа
fra	6-57	ceinture
spa	6-57	cinturón,faja
deu	6-57	Gürtel
rus	6-57	ремень
fra	6-58	gant
spa	6-58	guante
deu	6-58	Handschuh
rus	6-58	перчатка
fra	6-59	voile
spa	6-59	velo
deu	6-59	Schleier
rus	6-59	вуаль
fra	6-61	poche
spa	6-61	bolsillo
deu	6-61	Tasche, Hosentasche
rus	6-61	карман
fra	6-62	bouton
spa	6-62	botón
deu	6-62	Knopf
rus	6-62	пуговица
fra	6-63	épingle
spa	6-63	alfiler
deu	6-63	Stecknadel
rus	6-63	булавка
fra	6-71	ornement
spa	6-71	adorno,ornato
deu	6-71	Schmuck
rus	6-71	орнамент, украшение
fra	6-72	bijou, joyau
spa	6-72	joya
deu	6-72	Juwel
rus	6-72	драгоценный камень, ювелирное изделие
fra	6-73	bague, anneau
spa	6-73	anillo, sortija
deu	6-73	Ring
rus	6-73	кольцо
fra	6-74	bracelet
spa	6-74	brazalete
deu	6-74	Armband
rus	6-74	браслет
fra	6-75	collier
spa	6-75	collar
deu	6-75	Halsband, Halskette
rus	6-75	ожерелье, бусы
fra	6-76	perle
spa	6-76	chaquira, abalorio
deu	6-76	Perle
rus	6-76	бусина
fra	6-77	boucle d'oreille
spa	6-77	arete, aro
deu	6-77	Ohrring
rus	6-77	сережка
fra	6-78	couronne
spa	6-78	cinta (para la cabeza), tocado
deu	6-78	Stirnband, Kopfschmuck
rus	6-78	повязка на голову, головной убор
fra	6-79	tatouage
spa	6-79	tatuaje
deu	6-79	Tätowierung
rus	6-79	татуировка
fra	6-81	mouchoir,chiffon
spa	6-81	pañuelo, trapo
deu	6-81	Taschentuch oder Lappen
rus	6-81	носовой платок
fra	6-82	serviette
spa	6-82	toalla
deu	6-82	Handtuch
rus	6-82	полотенце
fra	6-91	peigne
spa	6-91	peine
deu	6-91	Kamm
rus	6-91	гребень, расческа
fra	6-92	brosse
spa	6-92	cepillo
deu	6-92	Bürste
rus	6-92	щетка
fra	6-921	tresser
spa	6-921	trenzar
deu	6-921	Zopf
rus	6-921	коса
fra	6-93	rasoir
spa	6-93	navaja de afeitar
deu	6-93	Rasiermesser
rus	6-93	бритва
fra	6-94	pommade, onguent, crème
spa	6-94	ungüento
deu	6-94	Salbe
rus	6-94	мазь
fra	6-95	savon
spa	6-95	jabón
deu	6-95	Seife
rus	6-95	мыло
fra	6-96	miroir, glace
spa	6-96	espejo
deu	6-96	Spiegel
rus	6-96	зеркало
fra	7-11	habiter, demeurer
spa	7-11	habitar
deu	7-11	wohnen
rus	7-11	проживать, жить
fra	7-12	maison
spa	7-12	casa
deu	7-12	Haus
rus	7-12	дом
fra	7-13	hutte
spa	7-13	cabaña,choza
deu	7-13	Hütte
rus	7-13	хижина
fra	7-131	cabane de jardin
spa	7-131	casa de huerta, granja
deu	7-131	Gartenhaus, Laube
rus	7-131	дачный домик
fra	7-14	tente
spa	7-14	toldo
deu	7-14	Zelt
rus	7-14	палатка
fra	7-15	cour
spa	7-15	cancha
deu	7-15	Hof
rus	7-15	двор
fra	7-16	maison réservée aux hommes
spa	7-16	casa de hombres
deu	7-16	Männerhaus
rus	7-16	дом для мужчин
fra	7-17	cuisine
spa	7-17	cocina (lugar)
deu	7-17	Küche, Küchengebäude
rus	7-17	кухня (помещение)
fra	7-18	maison de réunion
spa	7-18	casa de reunión
deu	7-18	Versammlungshaus
rus	7-18	дом для собраний
fra	7-21	pièce, chambre
spa	7-21	cuarto, pieza
deu	7-21	Zimmer, Stube
rus	7-21	комната
fra	7-22	porte
spa	7-22	puerta
deu	7-22	Tür, Tor, Pforte
rus	7-22	дверь, ворота
fra	7-221	pilier
spa	7-221	jamba de puerta
deu	7-221	Pfosten
rus	7-221	дверной косяк
fra	7-23	serrure
spa	7-23	cerradura, candado
deu	7-23	Schloss
rus	7-23	замок
fra	7-231	serrure
spa	7-231	cerrojo
deu	7-231	Riegel
rus	7-231	запор, засов
fra	7-24	clef
spa	7-24	llave
deu	7-24	Schlüssel
rus	7-24	ключ
fra	7-25	fenêtre
spa	7-25	ventana
deu	7-25	Fenster
rus	7-25	окно
fra	7-26	plancher, sol
spa	7-26	suelo
deu	7-26	Fußboden, Boden
rus	7-26	пол
fra	7-27	mur
spa	7-27	pared, muro
deu	7-27	Wand, Mauer
rus	7-27	стена
fra	7-31	foyer
spa	7-31	fogón
deu	7-31	Feuerstätte, Kamin, Herd
rus	7-31	камин
fra	7-32	four
spa	7-32	estufa
deu	7-32	Ofen
rus	7-32	печь
fra	7-33	cheminée
spa	7-33	chimenea
deu	7-33	Schornstein, Esse
rus	7-33	дымоход
fra	7-42	lit
spa	7-42	cama
deu	7-42	Bett
rus	7-42	кровать
fra	7-421	oreiller
spa	7-421	almohada
deu	7-421	Kissen
rus	7-421	подушка
fra	7-422	couverture
spa	7-422	frazada,cobija
deu	7-422	Decke
rus	7-422	одеяло
fra	7-43	chaise,siège
spa	7-43	silla
deu	7-43	Stuhl
rus	7-43	стул
fra	7-44	table
spa	7-44	mesa
deu	7-44	Tisch
rus	7-44	стол
fra	7-45	lampe
spa	7-45	lámpara, antorcha
deu	7-45	Lampe
rus	7-45	лампа, фонарь
fra	7-46	bougie, cierge, chandelle
spa	7-46	vela
deu	7-46	Kerze
