id	Definition
Sound:ring.V	Ring most broadly refers to a hollow circular shape or to a high-pitched sound.
Sound:silence.N	Absence of sound, especially of noise.
Sound:sound or noise.N	Any audible noise which is not necessarily unwanted or unpleasant to the hearer and of short or long duration.
Sound:sound.V	The noise emitted by musical instruments or humans speaking.
Sound:tinkle.V	Emit a sound suggestive of a tinkle.
Time:age.N	The amount of time that a person, animal or plant has lived or that an object has existed.
Time:autumn.N	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.
Time:day (24 h).N	A period of time lasting 24 hours.
Time:daytime.N	The period between sunrise and sunset where one enjoys daylight.
Time:future.N	The future is what will happen in the time after the present.
Time:hour.N	A time period of sixty minutes; one twenty-fourth of a day.
Time:monsoon season.N	A period of heavy rain particularly during summer time.
Time:month.N	A period into which a year is divided, historically based on the phases of the moon. In the Gregorian calendar there are twelve months.
Time:morning.N	The period of time from the start of the day (midnight) until midday (12:00).
Time:night.N	The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.
Time:now or today.ADV	On the current day or in the current moment.
Time:now.ADV	At present; at this time.
Time:often.ADV	Many times, with short intervals between occasions.
Time:old.A	Having lived or existed for a relatively long period of time.
Time:one time.N	An instance or occurrence of an event.
Time:season.N	One of the four equal periods into which the year is divided by the equinoxes and solstices, resulting from the apparent movement of the sun north and south of the equator during the course of the earth's orbit around it. These periods (spring, summer, autumn and winter) have their characteristic weather conditions in different regions, and occur at opposite times of the year in the N and S hemispheres.
Time:springtime.N	Traditionally the first of the four seasons, the season of growth with an ever increasing amount of daytime.
Time:summer.N	Traditionally the second of the four seasons regarded as being from June 21 to September 20 (or just June, July and August) in the Northern Hemisphere and from December 21 to March 20 (or just December, January and February) in the Southern Hemisphere.
Time:week.N	A period of seven days.
Time:winter.N	Traditionally, the fourth of the seasons, marked by the applicable hemisphere of the planet being at its minimum angle of exposure to the Sun, resulting in short days, long nights and typically in low temperatures.
Time:year.N	The time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).
