id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Body:blood.N	yes	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	5399847	n	946	4-15	Blut::N	565
Body:blow nose.V	yes	To clean one's nose by exhaling through it.			2679			
Body:blow.V	yes	To expel air through persed lips.			176		blasen::V	
Body:body hair.N	yes	The terminal hair that develops on the human body during and after puberty.	5255578	n	189	4-144		517
Body:body part.N	yes	Part of a human body or an animal body.			2213			
Body:body.N	yes	The physical structure of a human or animal.	5216365	n	1480	4-11	Körper::N	500
Body:boil.N	yes	A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.	14183210	n	793	4-856		
Body:bone.N	yes	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.	5269901	n	1394	4-16	Knochen::N	560
Body:brain.N	yes	The organ of the central nervous system of an animal or human located in the skull that controls the actions and thoughts of the animal or human.	5481095	n	1583	4-203	Gehirn::N	571
Body:breast milk.N	yes	The milk of humans.			3912			
Body:breast or milk.N	yes	Either the organ of females which gives nourishing substance for newborns, or the substance itself.			2129			
Body:breast.N	yes	The fleshy organ on the chest of a sexually mature human female containing mammary glands.	5554405	n	1402	4-41	Busen::N	550
Body:breastbone.N	yes	Long flat bone located in the center of the chest.			2810			
Body:breath or breathe.?	no	The air that goes into one's lungs or the act of breathing.			3183			
Body:breath or life.N	yes	The act of inhalation and exhalation of air as one part of physiological respiration required to sustain life, or the fact that life is sustained itself.			2269			
Body:breath.N	yes	The air inhaled and exhaled through the lungs.			870		Atem::N	
Body:breath.V	yes	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.	1740	v	1407	4-51	atmen::V	710
Body:bruise.N	yes	A collection of blood in the body tissue outside the blood vessels	14288871	n	1148	4-852		
Body:burn.N	yes	An injury caused by exposure to heat, fire or chemical agents.			3622			
Body:burp.V	yes	To release gas from the digestive tract through the mouth.			2789			
Body:buttock.N	yes	The fleshy part of the human body that one sits on.	5559256	n	834	4-464		557
Body:calf of leg.N	yes	The fleshy backside of the lower part of the leg.	5574332	n	498	4-352		
Body:canine tooth.N	yes	One of the pointed teeth behind the incisors and in front of the premolar teeth.				4-99903		
Body:carcass.N	yes	The body of a dead animal, on which other animals have begun to feed.	1758757	n	1770	4-771		
Body:castrate.V	no	Any action, surgical, chemical, or otherwise, by which a biological male loses use of the testicles.			2563			
Body:catch a cold.V	no	To become sick with a cold.			2184			
Body:cheek.N	yes	The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.	5602835	n	1730	4-208	Wange::N	512
Body:chest.N	yes	The portion of the body from the base of the neck to the top of the abdomen; the thorax.	5552607	n	1592	4-4	Brust::N	504
Body:chin.N	yes	The bottom of the face, below the mouth.	5599617	n	1510	4-209	Kinn::N	513
Body:cholesterol.N	yes					4-99904		
Body:claw or nail.N	yes	The hard, keratin part growing at the feet of animals or the hands and legs of humans.			2128			
Body:climb.V	no	climb						704
Body:clitoris.N	yes	A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.			3257			
Body:close (eyes).V	yes	Move ones eyelids in such a way that the eyes are no longer visible.			2063			
Body:close eyes.V	yes	To shut down the eyes such that one cannot see anything anymore.			2211			
Body:close mouth.V	yes	To close one's mouth.			3547			
Body:coffin.N	no	The box in which the body of a dead person is placed for burial.			2011			
Body:collarbone.N	yes	Bone linking the scapula and sternum.	5274105	n	1994	4-302		
Body:common cold (disease).N	no	A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.	14145501	n	102	4-843		
Body:conceive.V	no	To become pregnant.	54285	v	1087	4-732		
Body:congeal (blood).V	no	The process by which frech blood gets dry and hard.			2395			
Body:conjunctivitis.N	no	An inflammation of the eye conjunctiva.			3026			
Body:copulate.V	no	To engage in sexual intercourse.	1426397	v	549	4-67		762
Body:corpse.N	yes	A dead body.	5218119	n	767	4-77		
Body:cough.V	no	To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.	5815	v	879	4-53	husten::V	
Body:coughing.N	yes	The act of coughing or the sound of coughing.			3913			
Body:crawl.V	no	crawl						705
Body:crown (of head).N	no	A royal, imperial or princely headdress; a diadem.			1943			
Body:cry out.V	no	cry out, shout, yell						741
Body:cry.V	no	cry, weep						740
Body:cure.V	no	To remedy an illness using medical or medicamentous treatment; to provide a cure for.	81725	v	499	4-86		
Body:dandruff.N	no	Small portion of dead skin cells shedding from the scalp.	9262955	n	576	4-146		
Body:dead.A	no	Not alive; lacking life.	95280	a	1625	4-7501		625
Body:deaf.A	no	Not having the faculty of hearing, or only having a restricted capability to hear.	681930	a	996	4-95	taub::A	
Body:death.N	no	The end of life.			910		Tod::N	
Body:dentist.N	no	A person who is medically trained and licensed to practice the prevention, diagnosis, and treatment of diseases, injuries, and malformations of the teeth, jaws, and mouth.			3876			
Body:diarrhea.N	no	A condition in which the sufferer has frequent and watery bowel movements.			1177			
Body:die (from accident).V	yes	To cease to live due to unforeseen circumstances.			2865		umkommen::V	
Body:die.V	yes	To cease to live.	358431	v	1494	4-75	sterben::V	626
Body:dribble.N	yes					4-99905		
Body:dribble.V	yes	To let saliva flow out of one’s mouth onto one’s chin.	102974	v	268	4-591		
Body:drown.V	no	To be suffocated in water or other fluid; to perish by suffocation in water.	360501	v	1904	4-751		
Body:drown.V	no	drown (die/kill via immersion)						791
Body:drowned.A	no	To have perished by suffocation in water.			3187			
Body:drunk.A	no	Being in a temporary state in which one's physical and mental faculties are impaired due to excessive consumption of alcohol.	797299	a	1463	4-98		652
Body:dumb.A	no	Unable to speak; lacking power of speech.			1492			
Body:ear or hear.N	no	Either the organ with which one perceives noise, or the action of perceiving noise.			2126			
Body:ear.N	yes	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	5320899	n	1247	4-22	Ohr::N	514
Body:earhole.N	yes	The outer opening of the ear.			3891			
Body:earlobe.N	yes	The lower fleshy part of the human ear.	5323588	n	18	4-221		
Body:earwax.N	yes	A yellowish, waxlike secretion from certain glands in the external auditory canal.	15095103	n	32	4-222		
Body:eat.V	no	eat						720
Body:egg.N	yes	egg						590
Body:elbow.N	yes	The joint between arm and forearm.	5579944	n	981	4-32	Ellenbogen::N	532
Body:excreta.N	no	Waste matter, such as sweat, urine, or faeces, discharged from the body.			47			
Body:eye.N	yes	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals and humans see.	5311054	n	1248	4-21	Auge::N	515
Body:eyeball.N	yes	The partly visible orb nesting in the eye socket which contains for example pupil, retina and iris and is connected to the brain via the optic nerve.			3807			
Body:eyebrow.N	yes	The hair that grows over the bone ridge above the eye socket.	5313535	n	1173	4-212		
Body:eyelash.N	yes	One of the hairs that grows on the eyelid, around the eyes.	5314919	n	1540	4-214		
Body:eyelid.N	yes	A skin flap that can be closed over an eye.	5313822	n	17	4-213		
Body:face.N	yes	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.	5600637	n	1560	4-204	Gesicht::N	510
Body:faint (pass out).V	no	To become unconscious as a result of a temporary decrease in the blood supply to the brain.			3616			
Body:fall asleep.V	yes	To go to sleep; to change from waking state to sleeping state.			1106		einschlafen::V	
Body:fart.V	yes	To emit digestive gases through the anus.	101629	v	1159	4-64		
Body:fat.N	yes	Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.	14864360	n	323	5-791	Fett::N	
Body:fatigue.N	no	A state of physical and/or mental weakness and a lack of vigor.			1140			
Body:feather or fur or hair.N	no	The cover of a mammal or a bird.			2381			
Body:feather.N	yes	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	1896031	n	1201	4-393	Feder::N	592
Body:feces.N	yes	Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon.			675			566
Body:feces.V	yes	To excrete faeces from one's body through the anus.	74038	v	676	4-66		
Body:fetus.N	no	fetus (foetus), embryo						602
Body:finger or toe.N	yes	Limb of the human body found in the hands and foots of humans and primates.			2120			
Body:finger.N	yes	One of the long extremities of the hand that is used for gripping objects.	5566504	n	1303	4-34	Finger::N	535
Body:fingernail.N	yes	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	5584265	n	1258	4-344	Fingernagel::N	
Body:fingertip.N	yes	The top of the finger.			2773			
Body:fishbone.N	yes	Any of the bones forming the skeleton of a fish, especially one of the sharp slender bones attached to the backbone.			3799			
Body:fist.N	yes	The closed hand with the fingers on the palm.			1473	4-99906		537
Body:flesh or meat.N	yes	Either referring to the soft substance of the body of living things (flesh), or to the soft substance in animals as an important source of food for humans.			2615			
Body:flesh.N	yes	The soft substance in the body of living things.	5268112	n	2259	4-13		577
Body:foot or leg.N	yes	Lower part of the human body which is used for walking.			2098			
Body:foot or walk.?	no	Either the body part or the action by which one uses the body part to advance.			2450			
Body:foot.N	yes	The part of a human’s body below the ankle that is used in order to stand and walk.	5563266	n	1301	4-37	Fuß::N	542
Body:footprint.N	yes	The impression of the foot in a soft substance such as sand or snow.	6645039	n	318	4-374	Spur::N	
Body:forefinger.N	yes	The finger between thumb and long finger.			577			
Body:forehead.N	yes	The part of the face between the hairline and the eyebrows.	5602548	n	123	4-205	Stirn::N	511
Body:fornicate.V	no	To have sexual intercourse outside of marriage, especially with varying partners.			103			
Body:freckle.N	no	A small brownish or reddish pigmentation spot on the surface of the skin.			530			
Body:front tooth.N	yes	Aeveral teeth located above and below in the mouth of mammals (including humans) to bite food off.			442			
Body:fur.N	yes	The body-hair of an animal (excluding humans) or a piece of clothing made thereof.	3404149	n	580	6-28	Fell::N	
Body:gall bladder.N	yes	A pear-shaped organ located beneath the liver that serves as a storage sac for bile until it is released into the small intestine.			3372			
Body:gene.N	no	gene						601
Body:genitalia.N	yes	The sexual organs: the testicles and penis of a male; or the labia, clitoris, and vagina of a female.			198			
Body:get drunk.V	yes	Activity of drinking alcoholic beverages that leads to having an altered conciousness.			3980			
Body:get tired.V	no	To become tired through overuse or great strain or stress.			1996		müde werden::V	
Body:goiter.N	yes	Enlargement of the thyroid gland.	14199477	n	1957	4-842		
Body:grave.N	no	A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).	3455033	n	1773	4-79	Grab::N	
Body:graveyard.N	no	A tract of land used for burials; burial ground; cemetery.			3284			
Body:grow up.V	yes	To mature and become an adult.			552			
Body:gum.N	yes	The mucosal tissue that partly lies over the teeth in the mouth.	5304932	n	139	4-271		
Body:guts or heart.N	no	Either the human heart or the human guts.			2436			
Body:guts.N	yes	The internal organs of an animal or human.			1334			
Body:hair or forehead.N	no	The head hear or the forehead of a person.			2107			
Body:hair or fur.N	no	The hair covering the body of a mammal, including the body hair of humans.			2678			
Body:hair.N	yes	The hair on humans, usually on the head but also including the hair on the body.	5254795	n	1040		Haar::N	
Body:hand.N	yes	That part of the fore limb below the forearm or wrist in primates (including humans).	5564590	n	1277	4-33	Hand::N	534
Body:handspan.N	no	The distance between splayed out thumb and little finger or index finger of a human hand. Formerly used as a unit of measurement or for roughly gauging small lengths around 20 centimeters.			3838			
Body:have sex.V	no	To take part in sexual activity (most commonly sexual intercourse) with another person for the purposes of sexual pleasure.			1785			
Body:head hair.N	yes	The hair on the head of humans (rather than the hair in general or the hair on the body).			2648	4-14		518
Body:head.N	yes	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	5538625	n	1256	4-2	Kopf::N	501
Body:heart.N	yes	A muscular organ that pumps blood through the body.	5388805	n	1223	4-44	Herz::N	572
Body:heel.N	yes	The part of the human foot on the backside where it becomes the leg.	5578095	n	980	4-372	Ferse::N	544
Body:hiccup.N	yes	A spasm of the diaphragm, or the resulting sound.						
Body:hiccup.V	yes	To have spasms of the diaphragm.	3826	v	162	4-521		
Body:hip bone.N	no	Large, flat bone in the center.			2820			
Body:hip.N	yes	The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.	5556325	n	1745	4-463		552
Body:hold.V	no	hold, grasp						752
Body:hoof.N	yes	Natural horn covering of an animal's foot.			152			
Body:horn.N	yes	A hard growth of keratin that protrudes from the top of the head of certain animals.	1325417	n	1393	4-17	Horn::N	593
Body:human skin.N	yes	The outer tissue of human beings.			2613			
Body:hump.N	no	A hump may refer to a camel's hump containing its fat reservoir or alternatively to the curve on an upper spine that causes a hunchback.			534			
Body:hunchback.N	no	A person whose back is hunched because of abnormal curvature of the upper spine.			99			
Body:hurt or pain.?	no	To experience an unpleasant physical sensation that is often the result of an injury, disease or other ailment; an unpleasant physical sensation itself.			3864			
Body:infected.A	no	Referring to something that has received an infection.			548			
Body:influenza.N	no	influenza						634
Body:inhale.V	yes	Breathe in some substance (smoke, steam) other than air.			2705			
Body:injure.V	no	To cause physical harm to a living creature.	69879	v	44	11-28		
Body:instep.N	no	The arched part of the human foot between the ankle and the toes.			3736			
Body:intestines.N	yes	The alimentary canal of an animal or human through which food passes after having passed all stomachs.	5534333	n	1991	4-461		573
Body:iris.N	no	iris (of eye)						516
Body:itch (cause itching or feel itchy).V	no	To have an unpleasant sensation on the skin that provokes the need to scratch; to be the cause of this sensation.			3855	4-99914		
Body:itch or itchy or itching.?	no	To have an unpleasant sensation on the skin that provokes the need to scratch or to be the cause of this sensation; the result of itching, i.e. an unpleasant sensation on the skin, or the property of having or producing such a sensation.			3856			
Body:itch.N	no	An unpleasant sensation on the skin that provokes the desire to scratch.	5723563	n	148	4-854		
Body:jaw.N	yes	Either of the two opposable structures forming, or near the entrance to, the mouth.	5546040	n	798	4-207	Kiefer[Anatomie]::N	
Body:joint.N	yes	Any part of the body where two bones join.			999			
Body:kick.V	no	kick						754
Body:kidney.N	yes	An organ in the body that produces urine.	5332802	n	489	4-451		574
Body:kill.V	yes	To put to death; to end a life.	1325536	v	1417	4-76	töten::V	
Body:kill.V	no	kill						627
Body:kiss.V	no	kiss						761
Body:knee.N	yes	In man, the joint in the middle part of the leg.	5573602	n	1371	4-36	Knie::N	541
Body:knuckle.N	yes	Joints of the fingers brought to prominence when hand is clenched.			2824			
Body:lame.A	no	Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.	1018788	a	320	4-94		
Body:lap.N	yes	The front area from waist to knees, especially when sitting.			3263	4-99907		
Body:larynx.N	yes	Organ on the upper end of the trachea.			3714			
Body:lay eggs.V	yes	The process by which birds produce eggs.			2464			
Body:lean (meat).A	no	Carry little fat (of meat).			2219			
Body:left hand.N	yes	The left hand of a human.			2182			
Body:leg.N	yes	The limb of an animal (including humans) that extends from the groin to the ankle.	5561507	n	1297	4-35	Bein::N	540
Body:lick.V	no	To stroke with the tongue.	1432176	v	319	4-59	lecken::V	
Body:lie.V	no	lie (recline horizontally)						737
Body:life.N	no	The time between birth or conception and death.	13961642	n	210	4-741	Leben::N	
Body:lip.N	yes	Either of the two fleshy protrusions around the opening of the mouth.	5305806	n	478	4-25	Lippe::N	522
Body:little finger.N	no	The smallest of the five fingers.			2774			
Body:live.V	yes	To be alive; to have a life.			2309			621
Body:liver.N	yes	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	5385534	n	1224	4-45	Leber::N	575
Body:living.A	no	Being alive.			3000			
Body:loin.N	yes	The part of the body (of humans and quadrupeds) each side of the backbone between the ribs and hips.			187			
Body:long hair.N	no	Hair that is not cut.			444			
Body:lower arm.N	yes	The part of the arm between the elbow and the hand.			446			
Body:lower back.N	yes	The lower part of the spine, also known as the lumbar region, which is situated between the rib cage and the pelvis.			3613			
Body:lower leg.N	yes	Part of the leg between the knee and the foot.			447			
Body:lower lip.N	yes	The lower fleshy protrusion around the opening of the mouth.			3944			
Body:lung.N	yes	A biological organ that extracts oxygen from the air.	5387544	n	688	4-441		576
Body:mane.N	yes	The long hair in the neck of horses and lions.			1918			
Body:marrow.N	yes	The spongy tissue in the hollow parts of bones.			1835			
Body:menstruate.V	yes	Regular natural change in female reproductive system that makes pregnancy possible.			2827			
Body:menstruation.N	yes	The period in the menstrual cycle when the endometrium is shed when conception did not take place.			766			
Body:middle finger.N	yes	The third and longest finger on the human hand.			3387			
Body:molar tooth.N	yes	A tooth located in the back of the mouth used for crushing and grinding food.	5307773	n	1049	4-272		
Body:moustache.N	yes	A growth of facial hair between the nose and the upper lip.			1165		Schnurrbart::N	
Body:mouth.N	yes	Opening in the lower half of a human face which is used for food ingestion and articulation.	5302499	n	674	4-24	Mund::N	521
Body:muscle.N	yes	An organ formed by contractile tissue that moves other organs.			1004			578
Body:mute person.N	no	A person that is not able to speak.			2320			
Body:mute.A	no	Not making a sound.	151855	a	1666	4-96		
Body:nail.N	yes	Hard keratin part growing at the end of a human's finger or toe.			1896		Nagel[Anatomie]::N	538
Body:nape.N	yes	The back part of the neck.	5547396	n	1347	4-281	Genick::N	
Body:nasal mucus (snot).N	no	Mucus from the nose.	5416048	n	208	4-232		
Body:navel.N	yes	A scar where the umbilical cord was attached.	5556595	n	1838	4-43	Nabel::N	553
Body:neck.N	yes	The part of the body (found in some animals, including humans) that connects the head and the trunk.	5546540	n	1333	4-28	Hals::N	502
Body:nerve.N	yes	An enclosed, cable-like bundle of axons (nerve fibers, the long and slender projections of neurons) in the peripheral nervous system.			2626			579
Body:neuter.A	no	neuter (neither male nor female)						616
Body:nipple.N	yes	The projection of a mammary gland from which, on female mammals, milk can be secreted.	5554653	n	796	4-412		
Body:nose.N	yes	The organ of the face used to breath and smell.	5598147	n	1221	4-23	Nase::N	520
Body:nostril.N	yes	Either of the two orifices located on the nose (or on the beak of a bird); used as a passage for air and other gases to travel the nasal passages.	5600109	n	1178	4-231		
Body:obese.A	yes	Carrying a larger-than-normal amount of fat or weight.			1279		fett::A	640
Body:open (eyes).V	yes	Move ones eyelids in such a way that the eyes are visible.			3234			
Body:open (mouth).V	yes	To move one's jaw(s) in a way that the oral cavity becomes partially or fully visible.			3437			
Body:oral cavity.N	no	Cavity that is limited by the lips in front, the cheeks on the side, the soft and hard palate at the top and the floor of the mouth below.			2674			
Body:organ.N	yes	organ (of body)						570
Body:ovary.N	yes	The female sex organ which is often paired and produces eggs for procreation.			3716			
Body:palate.N	yes	The palate is the roof of the mouth in humans and other mammals.			540			
Body:palm.N	yes	The inner and somewhat concave part of the human hand that extends from the wrist to the bases of the fingers.	5565696	n	1183	4-331	Handfläche::N	539
Body:pancreas.N	yes	An organ of the digestive system of vertebrates.			3252			
Body:pant.V	no	To breathe quickly and loudly as a result of running or exercising.			3614			
Body:penis.N	yes	The male sexual organ for copulation and urination; the tubular portion of the male genitalia (excluding the scrotum).	5526384	n	1222	4-492		555
Body:perspire or sweat.?	no	Either the action of sweating or the product.			2458			
Body:pharynx.N	yes	The inner part of the neck which starts after the oral and nasal cavity.			3713			
Body:phlegm.N	yes	Mucus secreted by the respiratory tract, particularly during respiratory infections, usually thick and sticky.			3061			
Body:pig liver.N	no	The liver of a pig.			2778			
Body:pig tongue.N	no	The tongue of a pig.			2777			
Body:pimple.N	yes	A result of a blockage of the skin's pore.			1809			
Body:piss.N	yes	Liquid excrement consisting of water, salts and urea, which is made in the kidneys, stored in the bladder, then released through the urethra.			1142			569
Body:piss.V	yes	To allow urine to flow from the bladder out of the body.	72012	v	592	4-65		
Body:placenta.N	yes	A vascular organ that is formed inside the womb to ensure the transfer of vital nutrients and regulation of metabolic exchange between mother and the foetus.			3388			
Body:point (with finger).N	no	To use the finger to show something to somebody.			2669			
Body:pregnant.A	no	Carrying developing offspring within the body.	173220	a	1123	4-73		
Body:pubic hair.N	yes	Dense, coarse hair that grows on the male and female genital area beginning in puberty.	5263587	n	36	4-145		
Body:pulse.N	yes	The rhytmic contraction and expansion of arteries at each heart beat, often discernible at points such the wrists and the neck.			3267			
Body:pupil.N	yes	Contractile aperture in iris.			1658			
Body:pus.N	no	A whitish-yellow or yellow substance produced during inflammatory responses of the body that can be found in regions of pyogenic bacterial infections.	5417472	n	1808	4-857		
Body:refreshed.A	no	refreshed, perky						651
Body:rest or sleep.V	yes	Lie down or sleep.			2116			
Body:rest.V	yes	To cease working, moving or thinking for some time in order to relieve fatigue.	14405	v	168	4-912	sich erholen::V	
Body:rib.N	yes	One of the long curved bones which form the rib cage.	5279026	n	801	4-162		
Body:right hand.N	yes	The right hand of a human.			2183			
Body:ringworm.N	no	Dermatophytosis, fungal skin infection making round patches on the skin.			3171			
Body:run.V	no	run						702
Body:saliva.N	yes	A secretion from the salivary glands (found in the mouth) that can be spat out.			1503	4-9991		
Body:scab.N	yes	A hard coating on the skin formed during the wound healing reconstruction phase.			2664			
Body:scald (burn oneself with liquid).V	no	To cause an injury by contact with steam or hot liquid.			3383			
Body:scar.N	yes	A permanent mark on the skin resulting from a wound.	14363483	n	497	4-858		
Body:scratch.V	no	To rub or scrape (a part of the body) with a sharp object (e.g. to relieve an itching).	2119874	v	1436	4-8541		
Body:scrotum.N	yes	Anatomical male reproductive structure.			2834			
Body:semen.N	yes	An organic fluid that may contain spermatozoa. It is secreted by the gonads (sexual glands) and other sexual organs of male or hermaphroditic animals and can fertilize female ova.			2283			
Body:sex.N	no	sex (male or female status), gender						610
Body:shave.V	no	shave (scrape off beard-hairs with a blade)						771
Body:shell.N	yes	A hard outer covering of an animal, as the hard case of a mollusk.	1904182	n	598	3-655		591
Body:shin.N	yes	The front part of the leg below the knee.			186			
Body:shiver.V	yes	To shake nervously, as if from fear.	1888946	v	52	4-68	zittern::V	
Body:shoulder.N	yes	One side of the top of the torso, where an arm attaches or joins.	5548840	n	1482	4-3	Schulter::N	530
Body:shoulderblade.N	yes	A large flat bone located at the back of each shoulder.	5279688	n	172	4-301		
Body:sick.A	no	Whose health is altered.	2541302	a	1847	4-84	krank::A	
Body:sick.A	no	sick, ill						631
Body:side.N	yes	The side of the body.			3344			
Body:sit.V	no	sit (be in a sitting position)						733
Body:skeleton.N	yes	The body part that forms the supporting structure inside of the human body or the body of animals.			2668			561
Body:skin.N	yes	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.	1895735	n	763	4-12	Haut::N	580
Body:skinny.A	no	skinny, thin (bodily)						641
Body:skull.N	yes	The main bone of the head; the cranium.	5540121	n	1605	4-202		
Body:sleep.V	no	To rest in a state of decreased consciousness and reduced metabolism.	14742	v	1585	4-61	schlafen::V	
Body:sleep.V	no	sleep						660
Body:sleepy.A	no	Feeling tired and willing to go to sleep.			3620			
Body:smallpox.N	yes	A highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars.			1054			
Body:smile.V	no	smile						744
Body:sneeze.V	yes	To expel air rapidly as a reflex, usually induced by an irritation in the nose.	4819	v	1621	4-54		711
Body:snore.V	no	To make a noise during sleep by vibration of soft respiratory tissues (soft palate, base of the tongue and pharyngeal walls), particularly during inhalation.	17031	v	1983	4-612		
Body:sole.N	yes	The bottom of the foot.			2666			
Body:sore.N	no	An injured, infected, inflamed or diseased patch of skin.			51			
Body:sperm.N	yes	Men's semen.			1505			
Body:spine.N	yes	The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.	5588174	n	805	4-191		562
Body:spit.V	yes	To forcefully evacuate saliva from the mouth.	101956	v	1440	4-56		723
Body:spleen.N	yes	A ductless vascular gland, located in the left upper abdomen near the stomach.	5333467	n	1744	4-452		
Body:squat.V	no	squat						735
Body:squint-eyed.A	no	Directed to one side with or as if with doubt or suspicion (used especially of glances).			87			
Body:stab to death.V	no	To kill by stabbing with a knife.			3189	9-223		
Body:stand.V	no	stand						731
Body:starve.V	no	starve (die from lack of food)						792
Body:sting.V	no	To hurt, usually by introducing poison or a sharp point, or both.			571		stechen::V	
Body:stinger.N	no	The pointed stinging organ of an animal, usually an insect, which is able to penetrate skin. Sometimes used to inject poison.			3798			
Body:stomach.N	yes	An organ in the body, involved in digestion of food.	5395690	n	819	4-46	Magen::N	581
Body:strength.N	no	Muscular capacity to modify the speed of an external physical object, to deform it or to oppose another force.			202	4-99912	Stärke::N	
Body:strong.A	no	Capable of producing great physical force.	2321009	a	785	4-81	stark::A	
Body:suffer.V	no	To physically feel a damage, a pain, a disease or a punishment.			1101			
Body:sunbathe.V	no	Sit or lie in the sun in order to tan the skin.			3131			
Body:sweat.N	yes	A fluid that is secreted by sweat glands in the skin in order to regulate body temperature.			125			567
Body:sweat.V	yes	To secrete sweat.	67545	v	126	4-55		
Body:swell.A	yes	Swollen.				4-99902		
Body:swell.N	yes	Abnormal protuberance or localized enlargement.	14315192	n	1903	4-853		
Body:swim.V	no	swim						706
Body:tail.N	yes	The appendage of an animal that is attached to its posterior and near the anus.	2157557	n	1220	4-18	Schwanz::N	594
Body:tear.N	yes	A drop of liquid produced from the eyes by crying or irritation.	5405324	n	1651	16-38	Träne::N	568
Body:temple.N	yes	The region of the skull on either side of the forehead.	5602683	n	1604	4-201		
Body:tendon.N	yes	Tissue that connects muscle to bone.	5296253	n	1137	4-465	Sehne::N	
Body:testicle.N	yes	The male sex gland that produces sperm and male hormones, found in some types of animals and humans.	5524615	n	797	4-49		556
Body:thigh.N	yes	The area between the pelvis and buttocks and the knee.			800			
Body:throat.N	yes	The front part of the neck.	5547508	n	1346	4-29	Kehle::N	525
Body:throw.V	no	throw						753
Body:thumb.N	yes	The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.	5567217	n	1781	4-342		536
Body:tickle (somebody).V	no	To move your fingers lightly on a sensitive part of somebody's body to make them feel uncomfortable and cause them to laugh.			3647			
Body:tinea.N	no	Dermatophytosis, fungal skin infection making white spots/non-symmetrical white patches on the skin.			3173			
Body:tired.A	no	In need of some rest or sleep, due to lack of sleep or as a result of hard work or physical activity.	2431728	a	1757	4-91		
Body:tired.A	no	tired, weary						650
Body:toe.N	yes	One of the extremities of the foot.	5577410	n	1389	4-38	Zeh::N	543
Body:toenail.N	yes	The hard keratin substance covering the tips of the feet of human beings.			2662			
Body:tongue tip.N	yes	The front part of the tongue.			443			
Body:tongue.N	yes	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.	5301072	n	1205	4-26	Zunge::N	523
Body:tooth.N	yes	A hard, calcareous structure present in the mouth of many vertebrate animals (including humans), generally used for eating.	5282746	n	1380	4-27	Zahn::N	524
Body:torso.N	yes	The central part of the human body, from which neck and limbs extend.			2667			
Body:udder.N	yes	An organ in female quadruped mammals which consists of mammary glands and has several teats.	2370360	n	154	4-42		
Body:ulcer.N	yes	An open sore of the skin, eyes or mucous membrane, often caused by an initial abrasion and generally maintained by an inflammation and/or an infection.			1189			
Body:umbilical cord.N	yes	A conduit between the developing embryo or fetus and the placenta.			2663	4-99913		
Body:upper arm.N	yes	The part of the arm between the shoulder and the elbow.			431			
Body:upper back.N	yes	The upper part of the back.			445			
Body:upper leg.N	yes	The part of the leg between the pelvis and the knee.	5562249	n	471	4-351	Oberschenkel::N	
Body:uvula.N	yes	A conic projection from the posterior edge of the middle of the soft palate.			2293			
Body:vagina.N	yes	The lower part of the female reproductive tract; a moist canal in female mammals (including humans) extending from the labia minora to the uterus.	5521111	n	1836	4-493		554
Body:vein.N	yes	A blood vessel that transports blood from the capillaries back to the heart.			1924		Ader::N	582
Body:vomit.V	no	To regurgitate the contents of the stomach.	76400	v	1278	4-57		
Body:vomit.V	no	vomit						725
Body:vulva.N	yes	The external parts of the female genitalia, in human beings this consists of the labia, clitoris, opening of the urethra (meatus), and the opening of the vagina.	5521636	n	1837	4-494		
Body:waist.N	yes	In human beings, the part between the thorax and hips.	5555688	n	1681	4-462		551
Body:wake up (sb).V	yes	Rouse from sleep.			3174		wecken::V	
